"date","PM25","city"
"2017-10-22",31,"puerto_montt"
"2017-10-23",31,"puerto_montt"
"2017-10-24",36,"puerto_montt"
"2017-10-25",28,"puerto_montt"
"2017-10-26",25,"puerto_montt"
"2017-10-27",18,"puerto_montt"
"2017-10-28",25,"puerto_montt"
"2017-10-29",25,"puerto_montt"
"2017-10-30",15,"puerto_montt"
"2017-10-31",12,"puerto_montt"
"2017-11-01",14,"puerto_montt"
"2017-11-02",31,"puerto_montt"
"2017-11-03",17,"puerto_montt"
"2017-11-04",27,"puerto_montt"
"2017-11-05",13,"puerto_montt"
"2017-11-06",10,"puerto_montt"
"2017-11-07",14,"puerto_montt"
"2017-11-08",20,"puerto_montt"
"2017-11-09",31,"puerto_montt"
"2017-11-10",21,"puerto_montt"
"2017-11-11",18,"puerto_montt"
"2017-11-12",10,"puerto_montt"
"2017-11-13",12,"puerto_montt"
"2017-11-14",22,"puerto_montt"
"2017-11-15",19,"puerto_montt"
"2017-11-16",20,"puerto_montt"
"2017-11-17",25,"puerto_montt"
"2017-11-18",25,"puerto_montt"
"2017-11-19",13,"puerto_montt"
"2017-11-20",10,"puerto_montt"
"2017-11-21",8,"puerto_montt"
"2017-11-22",9,"puerto_montt"
"2017-11-23",8,"puerto_montt"
"2017-11-24",14,"puerto_montt"
"2017-11-25",8,"puerto_montt"
"2017-11-26",6,"puerto_montt"
"2017-11-27",10,"puerto_montt"
"2017-11-28",9,"puerto_montt"
"2017-11-29",11,"puerto_montt"
"2017-11-30",8,"puerto_montt"
"2017-12-01",7,"puerto_montt"
"2017-12-02",11,"puerto_montt"
"2017-12-03",15,"puerto_montt"
"2017-12-04",8,"puerto_montt"
"2017-12-05",8,"puerto_montt"
"2017-12-06",7,"puerto_montt"
"2017-12-07",8,"puerto_montt"
"2017-12-08",8,"puerto_montt"
"2017-12-09",10,"puerto_montt"
"2017-12-10",4,"puerto_montt"
"2017-12-11",7,"puerto_montt"
"2017-12-12",7,"puerto_montt"
"2017-12-13",11,"puerto_montt"
"2017-12-14",7,"puerto_montt"
"2017-12-15",9,"puerto_montt"
"2017-12-16",13,"puerto_montt"
"2017-12-17",7,"puerto_montt"
"2017-12-18",7,"puerto_montt"
"2017-12-19",8,"puerto_montt"
"2017-12-20",14,"puerto_montt"
